,file_list,best_models,post_probs
1,Dal_Sasso_et_Pinna_1996,5,0.997334221926025
2,Damiani_2001a,5,0.899700099966678
3,Damiani_et_Yates_2003,5,0.779740086637787
4,Dashzeveg_et_Jin_1998,5,0.989670109963346
5,Davis_etal_2012,4,0.641452849050317
6,Densmore_et_White_1991,1,0.975674775074975
7,Dilkes_et_Arcucci_inpress,5,0.845051649450183
8,Dilkes_et_Sues_2009,5,0.911696101299567
9,Dodick_et_Modesto_1995,5,0.86271242919027
10,Dodson_etal_2004,5,0.834055314895035
11,Donoghue_2001,5,0.561479506831056
12,Doyle_et_Donoghue_1986,1,0.985338220593136
13,Dunlop_et_Selden_1997,4,0.469843385538154
14,Dupret_2004,5,0.904031989336888
