,file_list,best_models,post_probs
1,de_Carvalho_1996,4,0.819726757747418
2,deBraga_2003,5,0.907697434188604
3,deBraga_et_Reisz_1996,6,0.390203265578141
4,Parker_2007,5,0.883038987004332
5,Parker_et_Barton_2008,5,0.817394201932689
6,Parrish_1991,5,0.806731089636788
7,Parrish_1992,1,0.815728090636454
8,Parrish_1993,5,0.605131622792403
9,Perez-Moreno_etal_1994,1,0.792069310229923
10,Pinheiro_etal_2011,5,0.806397867377541
11,Pol_et_Rauhut_2012,6,0.529156947684105
12,Xu_etal_2000b,5,0.746084638453849
13,Xu_etal_2006b,5,0.665778073975342
