,file_list,best_models,post_probs
1,Edgecombe_et_Ramskold_1999a.nex.clean.log,1,0.90703098967011
2,Elzanowski_1999a.nex.clean.log,1,0.935021659446851
3,Evans_1988a.nex.clean.log,4,0.612462512495835
4,Evans_1991a.nex.clean.log,4,0.545151616127957
5,Evans_etal_2013a.nex.clean.log,5,0.893702099300233
6,Ezcurra_et_Novas_2007a.nex.clean.log,5,1
7,Ezcurra_etal_2010b.nex.clean.log,5,0.821392869043652
8,file.log,4,0.840719760079973
9,Fitzgerald_etal_2012a.nex.clean.log,5,0.877707430856381
10,Flynn_etal_2000a.nex.clean.log,5,0.488503832055981
11,Forey_1998aa.nex.clean.log,4,0.529490169943352
12,Forster_etal_1993a.nex.clean.log,4,0.523158947017661
13,Forster_etal_1998a.nex.clean.log,5,0.980673108963679
14,Fortey_etal_2005a.nex.clean.log,5,1
15,Frankfurt_et_Chiappe_1999a.nex.clean.log,1,0.95568143952016
16,Frobisch_2007a.nex.clean.log,5,1
17,Froehlich_2002a.nex.clean.log,4,0.840719760079973
