"","file_list","best_models","post_probs"
"1","Gahn_et_Kammer_2002a.nex.clean.log","1","0.970009996667777"
"2","Gallina_et_Apesteguia_2011a.nex.clean.log","5","0.977674108630457"
"3","Galton_et_Upchurch_2004a.nex.clean.log","1","0.970343218927024"
"4","Galton_et_Upchurch_2004b.nex.clean.log","5","0.73075641452849"
"5","Gardiner_etal_2005a.nex.clean.log","5","1"
"6","Gardner_2001a.nex.clean.log","5","0.876041319560147"
"7","Gasparini_etal_1993a.nex.clean.log","5","0.806397867377541"
"8","Gauthier_1986a.nex.clean.log","6","0.476841052982339"
"9","Gauthier_etal_1988a.nex.clean.log","5","0.978673775408197"
"10","Gauthier_etal_1988c.nex.clean.log","3","0.872709096967677"
"11","Gentry_et_Hooker_1988a.nex.clean.log","4","0.873708763745418"
"12","Godefroit_etal_1998a.nex.clean.log","1","0.923358880373209"
"13","Gonzalez_Riga_et_David_inpressa.nex.clean.log","5","0.958347217594135"
"14","Gower_2002a.nex.clean.log","5","0.787737420859713"
"15","Grellet-Tinner_et_Chiappe_2004a.nex.clean.log","5","0.679440186604465"
"16","Grellet-Tinner_et_Makovicky_2006a.nex.clean.log","5","0.891702765744752"
"17","Haasl_2000a.nex.clean.log","4","0.713762079306898"
"18","Harper_etal_2000a.nex.clean.log","5","0.506497834055315"
"19","Hill_2005a.nex.clean.log","4","0.985004998333889"
"20","Hill_etal_2003a.nex.clean.log","5","0.895368210596468"
"21","Holbrook_2001a.nex.clean.log","5","0.605131622792403"
"22","Holmes_etal_1998a.nex.clean.log","1","0.963345551482839"
"23","Holtz_1998a.nex.clean.log","1","0.981339553482173"
"24","Holtz_2001b.nex.clean.log","4","0.73408863712096"
"25","Hone_et_Benton_2008b.nex.clean.log","4","0.62379206931023"
"26","Hopson_et_Kitching_2001a.nex.clean.log","5","0.994668443852049"
"27","Hou_etal_1996a.nex.clean.log","5","0.574141952682439"
"28","Hungerbuhler_etal_2013a.nex.clean.log","5","0.997000999666778"
"29","Hutchinson_2001a.nex.clean.log","5","0.997334221926025"
"30","Hutchinson_2002a.nex.clean.log","5","1"
"31","Huttenlocker_2009a.nex.clean.log","5","0.506164611796068"
